user_id,age,gender,occupation_status,education_level,income_level,relationship_status,living_situation,country_region,ai_chatbot_platform,primary_use_case,daily_ai_chat_hours,human_social_interaction_hours,social_media_hours_daily,screen_time_total_hours,number_of_close_friends,loneliness_score,emotional_attachment_score,real_relationship_satisfaction,prefers_ai_over_humans,sleep_hours,sleep_quality_score,exercise_hours_weekly,anxiety_score,depression_score,stress_score,self_esteem_score,academic_or_work_performance_change,therapy_attendance,dependency_risk_label
U0001,21,Male,Employed Full-Time,High School,Lower-Middle,In a Relationship,With Partner,South America,ChatGPT,Learning,0.0,6.6,0.51,3.28,1,4.5,2.0,8.1,No,7.3,9.1,3.3,3.5,3.0,1.0,9.5,Improved,No,Low
U0002,34,Male,Student,Graduate,Upper-Middle,Single,Alone,North America,Character.AI,Productivity/Work,2.36,2.88,3.73,8.12,5,5.9,2.3,5.4,No,7.5,3.5,0.9,4.6,2.4,5.2,4.7,Same,No,Moderate
U0003,43,Male,Employed Full-Time,Graduate,Low,Single,Alone,Europe,Character.AI,Entertainment,0.07,4.56,0.49,3.02,4,1.1,1.0,8.3,No,6.8,8.3,7.6,1.0,1.0,3.2,7.2,Improved,No,Low
U0004,29,Non-binary,Employed Full-Time,Graduate,Low,Single,With Family,Asia,ChatGPT,Therapy-Substitute,0.44,5.66,0.88,5.28,7,3.2,1.8,6.7,No,9.5,8.9,7.4,2.7,1.5,2.6,9.0,Improved,No,Low
U0005,25,Female,Student,Graduate,Upper-Middle,In a Relationship,With Roommates,South America,ChatGPT,Therapy-Substitute,0.0,6.56,0.29,3.09,8,1.0,1.0,10.0,No,8.5,10.0,6.5,1.0,1.0,1.0,9.9,Improved,No,Low
U0006,22,Male,Employed Full-Time,Graduate,Low,Single,With Partner,Africa,Character.AI,Entertainment,0.94,5.49,2.46,5.1,4,5.4,2.0,5.5,No,5.8,7.1,2.6,4.1,3.5,2.3,8.5,Same,No,Low
U0007,43,Female,Student,Undergraduate,Lower-Middle,Single,With Partner,Asia,Other/Multiple,Therapy-Substitute,2.33,4.13,0.05,5.66,5,5.4,2.9,4.5,No,7.5,6.9,3.6,4.5,3.8,4.1,3.4,Improved,Yes,Low
U0008,35,Female,Freelancer,High School,Upper-Middle,Single,With Roommates,North America,ChatGPT,Productivity/Work,0.76,4.82,2.44,5.59,6,3.5,1.3,7.1,No,7.8,8.0,6.8,4.9,1.0,3.8,7.2,Same,No,Low
U0009,21,Male,Employed Full-Time,Undergraduate,Low,Married,With Family,Asia,ChatGPT,Productivity/Work,2.75,2.37,3.79,7.57,2,9.9,7.1,2.8,Yes,5.6,4.3,1.6,7.2,7.7,6.8,2.9,Declined,No,High
U0010,40,Male,Employed Part-Time,High School,Low,Single,With Family,North America,Replika,Entertainment,2.9,1.25,4.1,8.82,0,7.3,8.9,4.2,No,6.9,5.3,1.1,9.7,5.2,6.6,4.5,Declined,Yes,Moderate
U0011,33,Female,Employed Full-Time,Undergraduate,Lower-Middle,In a Relationship,With Family,North America,ChatGPT,Productivity/Work,4.22,1.68,4.93,9.68,1,6.6,10.0,3.3,Yes,5.1,1.2,1.1,9.2,8.3,7.3,2.0,Declined,No,High
